icao,name,city,state,country,lat,lon
KOKC,Will Rogers World Airport,Oklahoma City,Oklahoma,US,35.3931007385,-97.6007003784
KOKH,Delaurentis Airport,Oak Harbor,Washington,US,48.251499176,-122.674003601
KOKK,Kokomo Municipal Airport,Kokomo,Indiana,US,40.5281982422,-86.0589981079
KOKM,Okmulgee Regional Airport,Okmulgee,Oklahoma,US,35.6680984497,-95.9486999512
KOKS,Garden County Airport,Oshkosh,Nebraska,US,41.4010009766,-102.3550033569
KOKV,Winchester Regional Airport,Winchester,Virginia,US,39.14350128,-78.14440155
KOKZ,Kaolin Field,Sandersville,Georgia,US,32.9667015076,-82.8382034302
KOLD,Dewitt FieldOld Town Municipal Airport,Old Town,Maine,US,44.95280075,-68.67430115
KOLE,Cattaraugus County-Olean Airport,Olean,New York,US,42.24119949,-78.37139893
KOLF,L M Clayton Airport,Wolf Point,Montana,US,48.0945014954,-105.5749969482
KOLG,Solon Springs Municipal Airport,Solon Springs,Wisconsin,US,46.3148002625,-91.8163986206
KOLM,Olympia Regional Airport,Olympia,Washington,US,46.9693985,-122.9029999
KOLS,Nogales International Airport,Nogales,Arizona,US,31.4176998138,-110.8479995728
KOLU,Columbus Municipal Airport,Columbus,Nebraska,US,41.44800186,-97.34259796
KOLV,Olive Branch Airport,Olive Branch,Mississippi,US,34.9786987305,-89.7869033813
KOLY,Olney Noble Airport,Olney-Noble,Illinois,US,38.7218017578,-88.176399231
KOLZ,Oelwein Municipal Airport,Oelwein,Iowa,US,42.6808013916,-91.9745025635
KOMA,Eppley Airfield,Omaha,Nebraska,US,41.3031997681,-95.8940963745
KOMH,Orange County Airport,Orange,Virginia,US,38.2472000122,-78.0456008911
KOMK,Omak Airport,Omak,Washington,US,48.4644012451,-119.5179977417
KOMN,Ormond Beach Municipal Airport,Ormond Beach,Florida,US,29.3006000519,-81.1136016846
KONA,Winona Municipal-Max Conrad Field,Winona,Minnesota,US,44.07720184,-91.70829773
KONL,The O'Neill Municipal John L Baker Field,O'Neill,Nebraska,US,42.46989822,-98.68810272
KONM,Socorro Municipal Airport,Socorro,New Mexico,US,34.0224990845,-106.9029998779
KONO,Ontario Municipal Airport,Ontario,Oregon,US,44.0205001831,-117.013999939
KONP,Newport Municipal Airport,Newport,Oregon,US,44.5803985596,-124.0579986572
KONT,Ontario International Airport,Ontario,California,US,34.0559997559,-117.6009979248
KONX,Currituck County Regional Airport,Currituck,North Carolina,US,36.39889908,-76.01629639
KONY,Olney Municipal Airport,Olney,Texas,US,33.3508987427,-98.8191986084
KONZ,Grosse Ile Municipal Airport,Detroit/Grosse Ile,Michigan,US,42.0990982056,-83.1614990234
KOOA,Oskaloosa Municipal Airport,Oskaloosa,Iowa,US,41.2262001,-92.49389648
KOPF,Miami-Opa Locka Executive Airport,Miami,Florida,US,25.90699959,-80.27839661
KOPL,St Landry Parish Ahart Field,Opelousas,Louisiana,US,30.5583992004,-92.0994033813
KOPN,Thomaston Upson County Airport,Thomaston,Georgia,US,32.95460129,-84.26319885
KOQN,Brandywine Airport,West Chester,Pennsylvania,US,39.9901008606,-75.5819015503
KOQU,Quonset State Airport,North Kingstown,Rhode Island,US,41.5970993042,-71.4121017456
KOQW,Maquoketa Municipal Airport,Maquoketa,Iowa,US,42.0500984192,-90.7388000488
KORB,Orr Regional Airport,Orr,Minnesota,US,48.0158996582,-92.8561019897
KORC,Orange City Municipal Airport,Orange City,Iowa,US,42.9902992249,-96.0627975464
KORD,Chicago O'Hare International Airport,Chicago,Illinois,US,41.97859955,-87.90480042
KORE,Orange Municipal Airport,Orange,Massachusetts,US,42.570098877,-72.2885971069
KORF,Norfolk International Airport,Norfolk,Virginia,US,36.8945999146,-76.2012023926
KORG,Orange County Airport,Orange,Texas,US,30.0692005157,-93.8009033203
KORH,Worcester Regional Airport,Worcester,Massachusetts,US,42.2672996521,-71.8757019043
KORK,North Little Rock Municipal Airport,North Little Rock,Arkansas,US,34.83309937,-92.25409698
KORL,Orlando Executive Airport,Orlando,Florida,US,28.5454998016,-81.332901001
KORS,Orcas Island Airport,Eastsound,Washington,US,48.7081985474,-122.910003662
KOSA,Mount Pleasant Regional Airport,Mount Pleasant,Texas,US,33.09550095,-94.96150208
